District,Place Name,Alternate Name,Category,Subcategory,Approximate Location,Latitude,Longitude,Short Description,Why Tourism-Relevant,Verification Level,Primary Source,Secondary Source,Existing Duplicate?,Existing Place ID / Slug,Duplicate / Conflict Notes,Current Status,Recommended Action
Araria,"Bio-Diversity Park, Kusiargaon",Kusiargaon Biodiversity Park,nature,Biodiversity Park / Conservation Reserve,"Kusiargaon, on NH-57, 10 km from Araria town",26.1158,87.4589,"Bihar's first official Biodiversity Park spread over 50 acres, established to conserve eastern Terai flora and fauna, featuring cactus house, butterfly garden, and water bodies.",State's pioneer biodiversity education and nature tourism centre situated on the East-West Highway Corridor.,A,District Administration Araria (araria.nic.in/tourist-place/bio-diversity-park-kusiargaon/),Bihar Tourism / Environment Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Araria,Madanpur Shiva Mandir,Madanpur Mahadev Mandir,temple,Historic Hindu Temple,"Madanpur, Araria",26.1754,87.5123,Ancient Shiva temple drawing thousands of devotees during Shravani Mela and Mahashivratri.,Most visited religious gathering site in eastern Araria.,B,District Administration Araria (araria.nic.in),Regional pilgrimage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Araria,Phanishwar Nath Renu Smarak & Birthplace,"Renu Gram, Aurahi Hingna",cultural,Literary Heritage Memorial,"Aurahi Hingna village, Forbesganj subdivision",26.2486,87.2842,"Ancestral home, memorial library, and museum of legendary Hindi novelist Phanishwar Nath 'Renu' (author of Maila Anchal and Teesri Kasam).",Significant literary pilgrimage and cultural heritage site for Indian literature and Hindi culture.,A,Bihar Culture Department / District Administration Araria,Incredible India / Sahitya Akademi Archive,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Araria,Raniganj Vriksh Vatika,Raniganj Tree Garden / Nature Park,nature,Eco Park / Botanical Forest,"Raniganj Block, 30 km west of Araria town",26.0712,87.2415,"Sprawling 289-acre natural botanical garden and forest reserve, one of the largest in North Bihar with deer enclosure, boating lake, and medicinal plant conservatory.",Prime eco-tourism landmark in Araria officially promoted by District Administration and Environment & Forest Dept.,A,District Administration Araria (araria.nic.in/tourist-place/raniganj-vriksh-vatika/),Bihar Forest Department / Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Arwal,Aganoor Mini Hydroelectric Project,Aganoor Jal Vidyut Pariyojna,tourist_spot,Industrial Heritage / Eco Site,"Aganoor village, Kaler Block, off NH-98",25.1328,84.5824,"Scenic mini-hydel power station built on the Son high-level canal system with gushing water channels, landscaped surroundings, and canal viewpoints.",Official tourist attraction recognized on district government portal for technical and scenic interest.,A,District Administration Arwal (arwal.nic.in/tourist-place/aganoor-jal-vidyut-pariyojna/),Bihar State Hydroelectric Power Corporation (BSHPC),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Arwal,"Madanpur Sun Temple, Arwal",Surya Mandir Madanpur / Fakharpur Mandir,temple,Sun Temple,"Kaler block, Arwal",25.1612,84.6154,"Historic Sun temple situated on the Son riverbank, drawing large crowds during Chhath festival.",Prominent religious destination mentioned in district heritage lists.,B,District Administration Arwal (arwal.nic.in),Local cultural archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Arwal,Makhdum Shah Baba Dargah,Makhdum Shah Ka Mazaar,cultural,Sufi Shrine / Riverfront Monument,"Arwal town, on the bank of Son River",25.2435,84.6721,"Historic Sufi mausoleum of Saint Makhdum Shah situated directly on the eastern embankment of the Son River, attracting inter-faith pilgrims.","Primary historical and cultural landmark in Arwal district, featured on official administration portal.",A,District Administration Arwal (arwal.nic.in/tourist-place/makhdum-shah-ka-mazaar/),Bihar Tourism Sufi records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Aurangabad,Amjhar Sharif,Dargah Hazrat Syed Mohammad Qadri,cultural,Sufi Shrine,"Haspura block, Aurangabad",24.9854,84.5218,"Venerated 16th-century Sufi shrine housing the tomb of Hazrat Syed Mohammad Qadri, holding an ancient copy of the Quran inscribed in gold.",Key stop on Bihar Tourism official Sufi Circuit.,A,Bihar Tourism Sufi Circuit (tourism.bihar.gov.in),District Administration Aurangabad,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Aurangabad,Daud Khan Fort,Daudnagar Fort,historical,River Fort / State Protected Monument,"Daudnagar, on the eastern bank of Son River",25.0315,84.4024,"17th-century fortified palace and citadel built by Daud Khan, the Mughal Subahdar of Bihar under Aurangzeb, with gateway, ramparts, and mosque.","Bihar State Protected Monument, major historical fort along Son river trade route.",A,Bihar State Archaeology Department / Bihar Tourism,District Administration Aurangabad,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Aurangabad,Deo Sun Temple,Surya Mandir Deo,temple,Ancient Sun Temple,"Deo town, 18 km south-east of Aurangabad",24.6563,84.4361,"Magnificent 8th-century stone temple dedicated to the Sun God, uniquely facing West rather than East, with exquisite stone carvings and sacred Surya Kund.",World-famous pilgrimage site for Chhath Puja attracting millions of devotees; state-level heritage destination.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration (aurangabad.bih.nic.in),ASI & Bihar Heritage,YES,ID 13 (deo-sun-temple-aurangabad),Already in HiddenYatra as place ID 13.,EXISTING,KEEP EXISTING
Aurangabad,Deokund,Baba Dudheshwarnath Temple & Kund,temple,Ancient Temple & Sacred Pond,"Goh Block, Aurangabad",24.9512,84.5829,Ancient Shiva shrine and sacred reservoir linked to Sage Chyavana; venue of major annual Shravani and Chhath congregations.,Featured religious heritage site promoted by Bihar Tourism Ramayana / Spiritual circuit.,A,Bihar Tourism / District Administration Aurangabad,District Gazetteer,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Aurangabad,Tomb of Shamsher Khan,Shamsher Khan Maqbara,historical,Mughal Mausoleum / ASI Monument,"Shamshernagar, Daudnagar block",25.0418,84.3821,"Imposing 17th-century octagonal red sandstone mausoleum built by Shamsher Khan (nephew of Daud Khan), with domed chambers and arched balconies.",ASI Centrally Protected Monument of National Importance in Bihar.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #1)",District Administration Aurangabad,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Aurangabad,Umga Sun Temple & Rock Complex,Umga Hill Temples / Mini Khajuraho of Bihar,historical,Ancient Stone Temple Complex / Hill,"Madanpur, 24 km from Aurangabad on Grand Trunk Road",24.6312,84.5518,"12th-century granite stone temple complex atop Umga hill resembling Khajuraho architecture, featuring 52 ancient rock-cut shrines dedicated to Sun, Shiva, and Ganesha.",Major archaeological gem of Magadh region with historic inscriptions of King Bhairavendra.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration (aurangabad.bih.nic.in),ASI Patna Circle / State Archaeology Directorate,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Banka,Chandan Dam,Chandan Reservoir,lake,Earthen Dam & Reservoir,"Banka, on Chandan River",24.7812,86.8125,One of the largest composite earthen dams in eastern India with panoramic view of water catchment and surrounding forested hills.,Scenic eco-tourism and picnic destination highlighted in district portal.,A,District Administration Banka (banka.nic.in),Irrigation Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Banka,Jethor Nath Mandir,Jethoor Hill Temple,temple,Hilltop Shiva Temple,"Amarpur block, Banka",25.0418,86.9124,Ancient Shiva shrine perched atop Jethor Hill with rock caves and panoramic views of the Gangetic plains.,Featured place of interest on official district portal.,A,District Administration Banka (banka.nic.in/tourist-place/jethore-nath-mandir/),Local heritage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Banka,Mandar Hill,Mandar Parvat / Mandarachal,mountain,Sacred Hill / Mythological & Heritage Site,"Bounsi Block, Banka district (18 km south of Banka town)",24.9500,86.7300,"Famous 700-foot monolithic granite hill linked to the churning of the ocean (Amrita Manthan) in Hindu mythology, with rock-cut sculptures, Jain 12th Tirthankara Vasupujya Nirvana shrine, and footmarks of Lord Vishnu.",Foremost tourist attraction of south-eastern Bihar with newly inaugurated aerial ropeway and Bounsi Mela.,A,District Administration Banka (banka.nic.in/tourist-place/mandar-parvat/) & Bihar Tourism,ASI & Bihar State Archaeology,YES,ID 12 (mandar-hill),"GEOGRAPHIC BORDER CONFLICT: Currently catalogued under Bhagalpur district (ID 12) in HiddenYatra, but geographically located in Banka district (Bounsi block).",DUPLICATE,MANUAL REVIEW
Banka,Odhni Dam Eco-Tourism Complex,Orhni Reservoir / Odhani Dam,adventure,Water Sports & Eco Tourism Reservoir,"Banka block, 12 km from Banka town",24.8415,86.8924,"Picturesque reservoir surrounded by green hills, developed by Bihar Tourism with speed boats, jet skis, floating restaurants, and sunset viewpoints.",Flagship modern water sports and adventure tourism destination in south Bihar.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Banka,Water Resources Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Banka,Papaharini Tank,Paapharni Pokhar / Mandar Kund,lake,Sacred Water Tank & Temple,"Foot of Mandar Hill, Bounsi, Banka",24.9458,86.7265,Sacred reservoir at the base of Mandar Hill with a central temple dedicated to Lord Vishnu and Lakshmi; venue of Makar Sankranti holy dip.,Integral component of the Mandar Hill tourism complex officially highlighted on banka.nic.in.,A,District Administration Banka (banka.nic.in),Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Begusarai,Jaimangla Garh,Jaymangla Garh Temple & Mound,historical,Archaeological Site & Shakti Temple,"Manjhaul, Kanwar Lake Island",25.5912,86.1425,Ancient fortified island mound inside Kanwar Lake housing a revered Mangla Chandi Shaktipeeth temple and excavated Pala-period black stone sculptures.,Bihar State Protected Monument and vital cultural-heritage complement to Kanwar Lake.,A,Bihar State Archaeology Department / District Administration Begusarai,Incredible India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Begusarai,Kanwar Lake Bird Sanctuary,Kabar Taal / Kabar Lake,nature,Ramsar Wetland & Bird Sanctuary,"Manjhaul, Begusarai",25.5833,86.1333,"Asia's largest freshwater oxbow lake and Bihar's first designated Ramsar Site, covering 2,620 hectares and hosting over 106 species of winter migratory birds.",Premier birdwatching and wetland conservation destination in Bihar.,A,Ramsar Convention Secretariat & Bihar Forest Department,Bihar Tourism (tourism.bihar.gov.in),YES,ID 15 (kanwar-lake-bird-sanctuary),Already in HiddenYatra as place ID 15.,EXISTING,KEEP EXISTING
Begusarai,"Naulakha Temple, Begusarai",Naulakha Mandir,temple,Historic Hindu Temple,Begusarai town centre,25.4182,86.1315,"Magnificent 19th-century temple built at a historical cost of nine lakhs rupees, featuring ornate architectural carvings, marble pavilions, and shrines.",Prime religious destination within Begusarai city.,A,District Administration Begusarai (begusarai.nic.in),Local heritage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
