rank,candidate_name,district,district_id,category,latitude,longitude,canonical_slug,nearest_existing_place,min_haversine_km,overlap_classification,tourism_value,why_it_adds_new_value,primary_source,secondary_source,evidence_confidence,recommended_priority,risk_notes
1,Lali Pahadi Archaeological Site,Lakhisarai,26,historical,25.1764,85.9981,lali-pahadi-archaeological-site,Ashok Dham Temple (Lakhisarai),6.35,DISTINCT DESTINATION,"First excavated hilltop Buddhist nunnery ('Shrimaddharma Vihara') in the Gangetic plains, excavated jointly by Bihar Heritage Development Society (BHDS) and Visva-Bharati University; features 27 monk cells, central courtyard, and rich antiquities.","Strengthens 2-place Lakhisarai with world-class Buddhist monastic archaeology, creating a compelling heritage circuit with Ashok Dham Temple and Shringirishi Dham.","Bihar Heritage Development Society (BHDS) / Directorate of Archaeology, Art, Culture & Youth Dept, Govt of Bihar",Lakhisarai District Administration (lakhisarai.nic.in) / Visva-Bharati Excavation Reports,HIGH (Grade A),P0,Excavated and officially inaugurated by CM Nitish Kumar; hilltop archaeological park located 6.35 km from Ashok Dham Temple.
2,"Khudneshwar Asthan, Morwa",Samastipur,30,cultural,25.761,85.689,khudneshwar-asthan-morwa,Vidyapati Dham (Samastipur),18.17,DISTINCT DESTINATION,"Historic 1858 syncretic shrine where a sacred Shivalinga and the mazar of a Muslim woman devotee (Khudni Biwi) share the same inner sanctum, exemplifying communal harmony and Ganga-Jamuni tehzeeb.",Expands 2-place Samastipur with a profound living cultural heritage site demonstrating Bihar's syncretic traditions; complements Vidyapati Dham.,Samastipur District Administration (samastipur.nic.in) - Tourism & Places of Interest,Bihar Tourism (tourism.bihar.gov.in) - Cultural & Religious Circuit,HIGH (Grade A),P0,Unique Hindu-Muslim shared sanctum sanctorum; attracts large festive crowds during Shivratri and Shravani Mela. 18.17 km from Vidyapati Dham.
3,Panth Pakar,Sitamarhi,34,cultural,26.637,85.452,panth-pakar,Punaura Dham (Sitamarhi),2.73,NEARBY BUT DISTINCT (Special Scrutiny),"Ancient sprawling sacred Banyan tree (spread across ~1 acre) in Riga block where, according to Ramayana tradition, the bridal palanquin (doli) of Devi Sita and Lord Rama rested on their journey to Ayodhya.",Strengthens 2-place Sitamarhi on the Ramayana Circuit with a unique botanical-sacred living heritage landmark distinct from town temples.,Bihar Tourism (tourism.bihar.gov.in) - Ramayana Circuit,Sitamarhi District Administration (sitamarhi.nic.in) - Tourism & Heritage,HIGH (Grade A),P0,Located 2.73 km from Punaura Dham. Completely independent pilgrimage site (living centuries-old banyan tree vs Janaki temple). Special scrutiny fully documented.
4,Manihari Ganga Ghat & Maharshi Mehi Ashram,Katihar,23,cultural,25.337,87.625,manihari-ganga-ghat-maharshi-mehi-ashram,Gogabil Lake Bird Sanctuary (Katihar),2.67,NEARBY BUT DISTINCT (Special Scrutiny),"Historic Ganga riverfront and sacred bathing ghat at Manihari, paired with the pioneering spiritual retreat and ashram of Santmat reformer Maharshi Mehi Paramhans.","Strengthens 2-place Katihar with an authentic riverfront pilgrimage and spiritual retreat destination, complementing Gogabil Lake Bird Sanctuary.",Katihar District Administration (katihar.nic.in) - Tourism & Places of Interest,Bihar Tourism (tourism.bihar.gov.in) / Santmat Spiritual Publications,HIGH (Grade A),P0,Located 2.67 km from Gogabil Lake. Completely distinct visitor intent (sacred riverfront/ashram vs oxbow wetland sanctuary). Special scrutiny fully documented.
5,Rishi Kund,Munger,6,nature,25.263,86.518,rishi-kund,Munger Fort (Munger),13.25,DISTINCT DESTINATION,"Natural perennial thermal hot springs set in a scenic forested valley of the Kharagpur Hills, renowned for therapeutic mineral waters and the triennial Malmas Mela.",Enriches Munger's eco-tourism and nature inventory with a legendary natural hot spring resort distinct from Bhimbandh and Munger Fort.,Munger District Administration (munger.nic.in) - Places of Interest & Tourism,Bihar State Tourism Development Corporation (BSTDC) / Geological Survey of India Thermal Springs Records,HIGH (Grade A),P0,Distinct forested geothermal spring complex situated 12.2 km north of Kharagpur Lake and 13.25 km from Munger Fort.
6,Chandradhari Museum,Darbhanga,18,cultural,26.155,85.898,chandradhari-museum,Darbhanga Raj (Laxmi Vilas Palace) (Darbhanga),0.87,NEARBY BUT DISTINCT (Special Scrutiny),"Premier public cultural repository of North Bihar established in 1957, housing over 13,000 rare antiquities across 11 thematic galleries including Mithila paintings, ancient terracottas, and Royal Darbhanga relics.","Adds a high-caliber cultural institution and museum to Mithilanchal, creating a balanced urban heritage circuit alongside Laxmi Vilas Palace and Shyama Mai Temple.","Directorate of Museums, Department of Art, Culture & Youth, Govt of Bihar (museums.bihar.gov.in)",Darbhanga District Administration (darbhanga.nic.in) - Tourism & Culture,HIGH (Grade A),P0,Located 0.87 km from Laxmi Vilas Palace on the bank of Mansarovar Lake. Independent institutional museum destination. Special scrutiny fully documented.
7,Sohagara Dham,Siwan,35,temple,26.082,84.085,sohagara-dham,Zeeradei (Dr. Rajendra Prasad Ancestral House) (Siwan),23.53,DISTINCT DESTINATION,"Ancient Swayambhu Baba Hansnath Mandir situated on the Jharahi river at the Bihar-UP border, housing an enormous subterranean black-stone Shivalinga with deep historical reverence.",Expands 2-place Siwan with an iconic regional pilgrimage landmark that attracts hundreds of thousands of pilgrims during Maha Shivratri and Shravani Mela.,Siwan District Administration (siwan.nic.in) - Tourism & Places of Interest,Bihar Tourism (tourism.bihar.gov.in) - Spiritual Circuit,HIGH (Grade A),P0,Border pilgrimage landmark situated 23.53 km from Zeeradei and 26.4 km from Baba Mahendra Nath Temple; serves as major cross-state cultural bridge.
8,Manjhi Fort Ruins & Ancient Mound,Saran,31,historical,25.823,84.582,manjhi-fort-ruins-ancient-mound,"Gautam Asthan, Revelganj (Saran)",10.07,DISTINCT DESTINATION,Centrally Protected Monument under Archaeological Survey of India (ASI Patna Circle); massive ancient riverfront citadel mound and ramparts overlooking the Ghaghra (Saryu) and Ganga confluence.,"Adds genuine ASI-protected archaeological depth to Saran, representing Chero dynasty fortification and NBPW-to-medieval continuous occupation.",Archaeological Survey of India (ASI Patna Circle) - List of Centrally Protected Monuments,Saran District Administration (saran.nic.in) - History & Monuments,HIGH (Grade A),P0,ASI Centrally Protected site situated 10.07 km upstream from Revelganj / Gautam Asthan.
9,"Tomb of Bakhtiyar Khan, Chainpur",Kaimur,22,historical,25.043,83.518,tomb-of-bakhtiyar-khan-chainpur,Karkatgarh Waterfall & Eco Park (Kaimur),4.28,NEARBY BUT DISTINCT (Special Scrutiny),State Protected Monument representing monumental 16th-century Suri-Afghan funerary architecture; majestic octagonal sandstone mausoleum on a high raised plinth with battlemented enclosures.,"Adds exquisite medieval Afghan architecture to Kaimur, diversifying its portfolio beyond waterfalls and ancient temples.","Directorate of Archaeology, Department of Art, Culture & Youth, Govt of Bihar - State Protected Monuments List",Kaimur District Administration (kaimur.nic.in) - Tourism & Monuments,HIGH (Grade A),P0,Located 4.28 km from Karkatgarh Waterfall in Chainpur town. Completely distinct heritage destination (16th-century Afghan mausoleum vs natural waterfall/eco-park). Special scrutiny fully documented.
10,Khuda Bakhsh Oriental Public Library,Patna,1,cultural,25.6185,85.163,khuda-bakhsh-oriental-public-library,Takht Sri Patna Sahib (Patna),1.35,NEARBY BUT DISTINCT (Special Scrutiny),"Institution of National Importance (Act of Parliament, 1969) housing over 21,000 priceless Arabic, Persian, and Urdu manuscripts, including the unique illustrated Tarikh-e-Khandan-e-Timuriya and Padshahnama.","Introduces intellectual and bibliographic heritage of global stature, offering cultural travellers an unparalleled encounter with Mughal imperial history and arts.","Ministry of Culture, Government of India / Khuda Bakhsh Oriental Public Library Act (No. 43 of 1969)",Patna District Administration (patna.nic.in) - Tourism & Heritage / Bihar Tourism,HIGH (Grade A),P0,Located 1.35 km from Takht Sri Patna Sahib on Ashok Rajpath. Autonomous statutory national institution with independent visitor profile. Special scrutiny fully documented.
