candidate_name,district,category,candidate_lat,candidate_lng,nearest_existing_place_id,nearest_existing_place_name,min_haversine_distance_km,exact_name_match,case_insensitive_match,slug_collision,same_complex_site,overlap_classification,audit_verdict,audit_notes
Kahalgaon Rock-Cut Temples,Bhagalpur,historical,25.2689,87.2345,141,Bateshwar Sthan & Patharghata Caves,8.13,NO,NO,NO,NO,Genuinely separate destination (>8 km from nearest active place; granite island rock-cut monuments in Ganga riverbed),APPROVAL-READY,"Centrally Protected Monument under ASI ('Rock Temple, Colgong'). Monolithic 7th–8th century rock-cut boulder temples and reliefs carved into granite islands situated directly in the bed of River Ganga."
Vishwa Shanti Stupa & Ratnagiri Ropeway,Nalanda,cultural,25.0085,85.4385,9,Rajgir (Rajagriha),2.87,NO,NO,NO,NO,Legitimate companion destination (2.87 km SE of Rajgir valley; independent hilltop pagoda reached via distinct BSTDC chairlift ropeway infrastructure),APPROVAL-READY,"Iconic 125-foot white marble World Peace Pagoda atop Ratnagiri Hill, accessed via Bihar's famous aerial chairlift ropeway operated by BSTDC. Consecrated in 1969 by Nichidatsu Fujii; global Buddhist landmark."
Shringirishi Dham,Lakhisarai,nature,25.1278,86.2344,60,"Kali Mandir, Malaypur",17.49,NO,NO,NO,NO,Genuinely separate destination (>17 km from nearest active place; pristine nature valley in Kharagpur hills),APPROVAL-READY,"Enchanting scenic valley in Kharagpur hills with natural perennial waterfalls, Sita Kund hot water springs, reservoir dam, and Ramayana Putrakameshti Yajna Sage Shringi lore. Gives Lakhisarai its 2nd active destination."
Girihinda Pahar & Shiv Temple,Sheikhpura,mountain,25.1385,85.8562,133,"Sri Vishnu Dham, Samas",14.39,NO,NO,NO,NO,Genuinely separate destination (>14 km from nearest active place; rocky granite inselberg),APPROVAL-READY,"Standalone 500-foot rocky granite hill rising above Sheikhpura town with 360-degree plains panorama, rock steps, children's park, and ancient Baba Kameshwar Nath Shiva shrine. Adds the rare 'mountain' category and gives Sheikhpura its 2nd destination."
Matsyagandha Lake & Raktakali Temple,Saharsa,lake,25.8825,86.5985,130,"Shri Ugratara Sthan, Mahishi",15.74,NO,NO,NO,NO,Genuinely separate destination (>15 km from nearest active place; urban wetland & Tantric architectural complex),APPROVAL-READY,"Expansive 80-acre lake complex developed under Jal-Jeevan-Hariyali mission featuring boating, landscaped promenades, and a unique oval-shaped 64-Yogini (Chausath Yogini) Raktakali Temple with engraved stone reliefs. Gives Saharsa its 2nd destination."
Kajha Kothi Eco Park,Purnia,nature,25.7185,87.3512,129,Jalalgarh Fort,31.44,NO,NO,NO,NO,Genuinely separate destination (>31 km from nearest active place; colonial heritage estate & eco-wetland),APPROVAL-READY,"Historic 1775 British-era indigo plantation bungalow estate on the Kajri river, developed into an eco-tourism lake park with pedal boating, gardens, and picnic grounds (Shastri Park). Gives Purnia its 2nd destination."
"Guru Tegh Bahadur Historic Gurdwara, Lakshmipur",Katihar,cultural,25.3912,87.2812,141,Bateshwar Sthan & Patharghata Caves,6.43,NO,NO,NO,NO,Genuinely separate destination (>6 km across river Ganga/Kosi; distinct Sikh pilgrimage site),APPROVAL-READY,Key destination on Bihar Tourism's official Sikh Circuit. Commemorates the 1670 visit of 9th Sikh Guru Sri Guru Tegh Bahadur Ji at historic Kantanagar; preserves original 17th-century Hukumnamas and handwritten Guru Granth Sahib. Gives Katihar its 2nd destination.
Dighwa Dubauli Archaeological Mounds,Gopalganj,historical,26.2485,84.7312,18,Kesariya Stupa,15.18,NO,NO,NO,NO,Genuinely separate destination (>15 km from nearest active place; ancient fortified pyramidal earthworks),APPROVAL-READY,Remarkable pyramidal star-shaped earthen mounds attributed to ancient Chero rulers; famous site of the 761–762 AD Dighwa-Dubauli copper plate inscription of King Mahendrapala I. Gives Gopalganj its 2nd destination.
Champanagar Ancient Capital & Jain Tirth,Bhagalpur,cultural,25.2312,86.9245,118,Vikramshila Gangetic Dolphin Sanctuary,11.82,NO,NO,NO,NO,Genuinely separate destination (>11 km from nearest active place; ancient fortified capital & Jain pilgrimage complex),APPROVAL-READY,Ancient fortified capital of Anga Mahajanapada (Champa / Karna Garh) and supreme Jain Panch Kalyanaka kshetra where 12th Tirthankara Bhagwan Vasupujya was born and attained all five spiritual milestones.
Deokund,Aurangabad,temple,24.9512,84.5829,152,Daud Khan Fort,20.26,NO,NO,NO,NO,Genuinely separate destination (>20 km from nearest active place; rural pilgrimage & spring complex),APPROVAL-READY,"Ancient Shaivite pilgrimage center housing the Baba Dudheshwar Nath Shiva temple, sacred perennial kund/spring, and hermitage traditions of Sage Chyavana. Major Mahashivratri gathering."
"Buddha Relic Stupa, Vaishali",Vaishali,historical,25.9912,85.1215,10,Vaishali - Birthplace of Democracy,0.93,NO,NO,NO,YES,Same-Site / High Proximity Cluster (<1 km from ID 10),HOLD,Excavated mud stupa of the Lichchhavis that yielded the authentic casket containing Buddha's corporeal relics. Held strictly due to 0.93 km marker proximity to ID 10; Vaishali already gained 2 places in Batch 5 (Kolhua Ashokan Pillar & Baraila Lake).
Ramrekha Ghat,Buxar,cultural,25.5785,83.9785,88,Battle of Buxar Memorial,1.84,NO,NO,NO,NO,Urban Proximity Cluster (<2 km from ID 88),HOLD,Sacred Ganga riverfront ghat with Ramayana lore and ₹13.24 Cr Bihar Tourism development. Held for Batch 7 to prioritize 1-place districts in Batch 6.
"Baba Mahendra Nath Temple, Mehdar",Siwan,temple,26.0125,84.4512,87,Zeeradei (Dr. Rajendra Prasad Ancestral House),29.52,NO,NO,NO,NO,Distinct Regional Pilgrimage (>29 km from ID 87),HOLD,Ancient 17th-century Shiva temple built by King of Nepal on 55-acre Kamaldah Lake; hosts Mehdar Mahotsav. Held for Batch 7 to avoid duplicate temple additions in Batch 6.
Bhitiharwa Gandhi Ashram,West Champaran,historical,27.1856,84.5582,149,Rampurva Ashokan Pillars,7.70,NO,NO,NO,NO,Distinct Heritage Ashram (>7 km from ID 149),HOLD,Historic 1917 Satyagraha ashram founded by Mahatma Gandhi with preserved original hut and school. West Champaran already has 5 active destinations; held for Batch 7.
Jaimangla Garh,Begusarai,historical,25.5985,86.1512,94,Kanwar Lake Bird Sanctuary,6.58,NO,NO,NO,NO,Archaeological Island Companion (6.58 km from ID 94),HOLD,Ancient fort mound and 9th-century Chandi Mangla Devi temple situated on edge of Kanwar Lake. Begusarai already has 2 active places; held for Batch 7.
Rishi Kund,Munger,nature,25.2185,86.5312,166,Kharagpur Lake (Haveli Kharagpur),12.54,NO,NO,NO,NO,Thermal Spring Complex (>12 km from ID 166),HOLD,Natural thermal hot spring in Kharagpur hills. Held due to feature similarity with active DB #93 Bhimbandh Hot Springs in Munger (which already has 3 places).
Kauwadol Hill & Colossal Buddha Statue,Gaya,historical,24.9812,85.0512,2,Barabar Caves & Siddheshwar Nath,4.10,NO,NO,NO,NO,Cluster Proximity (4.1 km from Barabar Caves),HOLD,8-foot monolithic rock-carved Buddha statue and ancient Silabhadra monastery mound. Held due to heavy existing inventory in Gaya (12 places).
Tomb of Hasan Khan Suri,Rohtas,historical,24.9512,84.0212,8,"Sher Shah Suri Tomb, Sasaram",0.75,NO,NO,NO,YES,Sub-Monument Urban Cluster (<1 km from ID 8),HOLD,Tomb of Sher Shah Suri's father in Sasaram town. Held as sub-monument cluster (<800 m from active DB #8).
Raja Vishal Ka Garh,Vaishali,historical,25.9925,85.1285,10,Vaishali - Birthplace of Democracy,0.57,NO,NO,NO,YES,Same Archaeological Complex (<600 m from ID 10),HOLD,Ancient Lichchhavi assembly parliament rampart mound; physically contiguous with active DB #10. Held for master complex inclusion.
"Gandhi Memorial & Sangrahalaya, Motihari",East Champaran,cultural,26.6485,84.9112,165,George Orwell Birthplace & Memorial,0.54,NO,NO,NO,YES,Urban Proximity Cluster (<600 m from ID 165),HOLD,Gandhi museum and stone pillar memorial in Motihari town center. Situated 540 m from active DB #165. Held.
Arwal Bus Stand Commercial Complex,Arwal,transit,25.2412,84.6712,115,Makhdum Shah Baba Dargah,0.27,NO,NO,NO,NO,Rejected Non-Tourism Candidate,REJECT,"Commercial bus terminal and market shops; zero tourism, historical, or cultural value."
Katihar Railway Junction Yard,Katihar,transit,25.5412,87.5612,124,Gogabil Lake Bird Sanctuary,24.01,NO,NO,NO,NO,Rejected Non-Tourism Candidate,REJECT,Operational railway yard and track complex; non-tourism transportation utility.
Purnea College Academic Campus,Purnia,education,25.7712,87.4712,129,Jalalgarh Fort,21.53,NO,NO,NO,NO,Rejected Non-Tourism Candidate,REJECT,Standard municipal collegiate academic campus lacking visitor heritage infrastructure.
Samastipur Dairy Milk Plant,Samastipur,industrial,25.8612,85.7812,131,Vidyapati Dham,24.66,NO,NO,NO,NO,Rejected Non-Tourism Candidate,REJECT,Industrial dairy processing facility; commercial production unit.
Hotel Grand Sheohar,Sheohar,commercial,26.5112,85.2912,134,"Baba Bhuwaneshwar Nath Temple, Dekuli",3.95,NO,NO,NO,NO,Rejected Non-Tourism Candidate,REJECT,Private commercial hospitality enterprise; violates destination criteria.
Siwan Civil Court Complex,Siwan,administrative,26.2212,84.3612,135,Zeeradei (Dr. Rajendra Prasad Ancestral House),11.34,NO,NO,NO,NO,Rejected Non-Tourism Candidate,REJECT,Municipal judicial building; administrative courthouse.
