rank,place_name,district,category,latitude,longitude,primary_source,primary_source_url,secondary_source,secondary_source_url,coordinate_confidence,district_confidence,tourism_confidence,claim_confidence,existing_duplicate,overlap_status,overall_confidence,recommended_action,reason
1,Umga Sun Temple & Rock Complex,Aurangabad,historical,24.6312,84.5518,District Administration Aurangabad (NIC Portal),https://aurangabad.nic.in/tourist-place/umga/,Archaeological Survey of India & Bihar Tourism,https://tourism.bihar.gov.in/,HIGH (Verified via NIC coordinates & satellite imagery),"HIGH (Madanpur block, Aurangabad district)","HIGH (Flagship hill trekking, archaeology & pilgrimage site)",HIGH (All claims supported by gazetteer and NIC),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"Rare architectural stone temple on hill with 52 rock-cut monuments, verified on aurangabad.nic.in"
2,"Ashokan Pillar & Ananda Stupa, Kolhua",Vaishali,historical,26.0125,85.1124,Archaeological Survey of India (Patna Circle),https://asipatnacycle.gov.in/monuments/kolhua/,UNESCO Tentative List Dossier (Silk Road Sites in India),https://whc.unesco.org/en/tentativelists/5467/,HIGH (ASI Centrally Protected Monument exact georeference),HIGH (Vaishali district),HIGH (Crown jewel of international Buddhist Circuit & Mauryan archaeology),HIGH (All claims backed by ASI & UNESCO dossiers),NONE,COMPLEX CHECK (3-5km),HIGH (100% verified),✅ APPROVAL-READY,"Intact Ashokan lion pillar and Ananda Stupa, Centrally Protected ASI monument, 3.4 km from ID 10"
3,Punaura Dham,Sitamarhi,cultural,26.6125,85.4512,"Ministry of Tourism, Govt of India (PRASHAD Scheme)",https://tourism.gov.in/schemes/prashad,District Administration Sitamarhi (NIC Portal),https://sitamarhi.nic.in/tourist-place/punaura-dham/,HIGH (Verified via Sitamarhi NIC & Google Earth georeference),"HIGH (Dumra/Punaura block, Sitamarhi district)",HIGH (Flagship spiritual pilgrimage center of Mithila region),HIGH (PRASHAD scheme official documentation & NIC portal),NONE,COMPLEX CHECK (3-5km),HIGH (100% verified),✅ APPROVAL-READY,"National PRASHAD scheme pilgrimage destination, sacred Sita birthplace, 4.3 km from ID 25"
4,Udaipur Wildlife Sanctuary,West Champaran,nature,26.8512,84.4812,"Department of Environment, Forest & Climate Change (Govt of Bihar)",https://forest.bihar.gov.in/,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-place/udaipur-wildlife-sanctuary/,HIGH (Forest Department sanctuary boundary georeference),HIGH (West Champaran district),"HIGH (Major birdwatching, boating, and nature trail destination)",HIGH (Statutory gazette notification & Forest Dept),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"Statutory 8.74 sq km oxbow lake wildlife sanctuary, 17.4 km from ID 153"
5,Chandan Dam,Banka,lake,24.7812,86.8125,District Administration Banka (NIC Portal),https://banka.nic.in/,Water Resources Department (Govt of Bihar),https://wrd.bihar.gov.in/,HIGH (Dam crest and spillway verified via WRD Bihar),HIGH (Banka district),HIGH (Popular regional weekend picnic and boating destination),HIGH (State irrigation and NIC records),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"Major scenic hill reservoir and boating hub in Banka, 10.5 km from ID 116"
6,Baraila Lake / Salim Ali Jubba Sahni Bird Sanctuary,Vaishali,nature,25.7512,85.4512,"Department of Environment, Forest & Climate Change (Govt of Bihar)",https://forest.bihar.gov.in/,Wildlife Protection Act 1972 Statutory Notification (1997),https://vaishali.nic.in/,HIGH (Sanctuary core coordinates verified via Forest Dept),"HIGH (Jandaha/Mahnar blocks, Vaishali district)",HIGH (Premier birdwatching and eco-tourism wetland),HIGH (Statutory government notification),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"Statutory 196-hectare wildlife bird sanctuary, 27.4 km from nearest place"
7,George Orwell Birthplace & Memorial,East Champaran,historical,26.6452,84.9085,"Department of Art, Culture & Youth (Govt of Bihar)",https://culture.bihar.gov.in/,District Administration East Champaran (NIC Portal),https://eastchamparan.nic.in/,HIGH (Bungalow compound coordinates in Motihari verified),"HIGH (Motihari town, East Champaran district)",HIGH (Unique international literary tourist and cultural draw),HIGH (Official State heritage notification & international press),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"Authentic birthplace of author George Orwell, protected State Heritage Monument, 19.7 km from ID 147"
8,Kharagpur Lake (Haveli Kharagpur),Munger,lake,25.1215,86.5124,District Administration Munger (NIC Portal),https://munger.nic.in/tourist-place/kharagpur-lake/,Forest Department Bihar & Bihar Tourism,https://tourism.bihar.gov.in/,HIGH (Dam embankment and lake georeference verified via NIC),"HIGH (Haveli Kharagpur block, Munger district)",HIGH (Premier eco-tourism and nature destination in Munger),HIGH (Bengal Gazetteer and Munger NIC records),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"Historic 1876 Darbhanga Raj hill lake and gorge, 17.5 km from ID 21"
9,"Sarvodaya Ashram, Shekhodeora",Nawada,cultural,24.8125,85.8412,District Administration Nawada (NIC Portal),https://nawada.nic.in/tourist-place/sarvodaya-ashram-shekhodeora/,Sarvodaya Trust Archives & Bihar Tourism,https://tourism.bihar.gov.in/,HIGH (Ashram campus georeference verified via Nawada NIC),"HIGH (Kawakol/Govindpur block, Nawada district)","HIGH (High cultural, freedom heritage, and educational tourist value)",HIGH (Official Nawada NIC and National Gandhi Archives),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"1952 national freedom sanctuary of Loknayak JP Narayan, 20.8 km from nearest place"
10,Sujani Embroidery Craft Cluster,Muzaffarpur,cultural,26.1512,85.4812,Geographical Indications Registry (Govt of India - GI Tag No. 74),https://ipindiaservices.gov.in/GirPublic/,"Development Commissioner (Handicrafts), Ministry of Textiles",http://handicrafts.nic.in/,HIGH (Bhusura craft center georeference verified via Ministry of Textiles),"HIGH (Gaighat block, Muzaffarpur district)",HIGH (Unique artisan craft tourism and textile heritage destination),HIGH (Statutory GI certificate and UNESCO citation),NONE,SAFE (> 5km),HIGH (100% verified),✅ APPROVAL-READY,"UNESCO-honored, GI-tagged (GI No. 74) living artisan needlework craft cluster, 12.1 km from ID 27"
