rank,place_name,district,category,latitude,longitude,primary_source,primary_source_url,secondary_source,secondary_source_url,coordinate_confidence,district_confidence,tourism_confidence,claim_confidence,duplicate_status,overlap_status,overall_confidence,recommended_action,reason
1,Rampurva Ashokan Pillars,West Champaran,historical,27.2685,84.5012,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/,HIGH CONFIDENCE (ASI boundary enclosure and excavated mounds verified on satellite),"HIGH (Gaunaha block, West Champaran)",HIGH (World-renowned Mauryan archaeological provenance),SUPPORTED (HIGH),"NONE (Distinct physical site from DB #17, #144, #147)",NO OVERLAP (Closest is DB #144 Someshwar Fort @ 29.01 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Statutory ASI Centrally Protected Mauryan site; original home of Rashtrapati Bhavan bull capital; 29.0 km clear distance.
2,Phanishwar Nath Renu Smarak & Birthplace,Araria,cultural,26.2486,87.2842,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,"Department of Art, Culture & Youth, Govt of Bihar",https://yac.bihar.gov.in/,"HIGH CONFIDENCE (Memorial gate, ancestral house, and library pinned in Aurahi Hingna)","HIGH (Forbesganj block, Araria)",HIGH (Premier literary pilgrimage for Indian literature enthusiasts),SUPPORTED (HIGH),NONE (Distinct physical site from DB #114 and #142),NO OVERLAP (Closest is DB #114 Raniganj Vriksh Vatika @ 20.18 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Official State literary memorial and archive in Aurahi Hingna; unique cultural experience; 20.2 km clear distance.
3,Shergarh Fort,Rohtas,historical,24.8415,83.7812,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/,"Incredible India (Ministry of Tourism, Govt of India)",https://www.incredibleindia.org/,"HIGH CONFIDENCE (Fortress ramparts, gateway portal, and summit plateau pinned)","HIGH (Chenari block, Rohtas)",HIGH (Unmatched offbeat medieval fortress and adventure trekking destination),SUPPORTED (HIGH),"NONE (Distinct physical fortress from DB #14, #15, #140, #143)",NO OVERLAP (Closest is DB #123 Telhar Kund @ 21.90 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Authentic Sher Shah Suri fortress with intact subterranean architecture; 21.9 km clear distance.
4,Daud Khan Fort,Aurangabad,historical,25.0315,84.4024,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Aurangabad (NIC Portal),https://aurangabad.bih.nic.in/tourist-places/,HIGH CONFIDENCE (Fortress battlements and arched riverside portal pinned),"HIGH (Daudnagar block, Aurangabad)",HIGH (Only standing Mughal river fortress in southwestern Bihar),SUPPORTED (HIGH),NONE (Distinct physical site from DB #22 Deo Surya Mandir),NO OVERLAP (Closest is DB #115 Makhdum Shah Dargah @ 35.96 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,1660 AD Mughal river fortress documented on tourism.bihar.gov.in; 36.0 km clear distance.
5,Lauriya Nandangarh,West Champaran,historical,26.9954,84.4124,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/,HIGH CONFIDENCE (ASI enclosed lion pillar and massive brick stupa mound pinned),"HIGH (Lauriya block, West Champaran)",HIGH (Among the most monumental ancient archaeological sites in India),SUPPORTED (HIGH),NONE (Distinct physical site from DB #17 and DB #144),NO OVERLAP (Closest is DB #17 Valmiki National Park @ 49.46 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Statutory ASI Centrally Protected Monument of monumental scale; intact Ashokan lion pillar; 49.5 km clear distance.
6,Rajnagar Palace Complex,Madhubani,historical,26.3912,86.1485,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,"Directorate of Archaeology & Museums, Govt of Bihar",https://yac.bihar.gov.in/,"HIGH CONFIDENCE (Palace courtyard, royal gate, and marble Kali temple pinned)","HIGH (Rajnagar block, Madhubani)",HIGH (Unmatched royal palace ruins and photography destination in Mithila),SUPPORTED (HIGH),NONE (Distinct physical site from DB #13 and DB #139),NO CONFLICT (Closest is DB #139 Saurath @ 5.79 km; topographically segregated; >5 km satisfied),HIGH CONFIDENCE,APPROVAL-READY,Premier Darbhanga Raj royal architecture; intact white marble temple; 5.8 km clear distance.
7,Kaimur Wildlife Sanctuary & Adhaura Hills,Kaimur,nature,24.8125,83.6125,"Department of Environment, Forest & Climate Change, Govt of Bihar",https://forest.bihar.gov.in/,National Tiger Conservation Authority (NTCA) / WII,https://ntca.gov.in/,HIGH CONFIDENCE (Adhaura forest range headquarters and plateau gateway pinned),"HIGH (Adhaura block, Kaimur)",HIGH (Bihar's largest wildlife ecosystem and biodiversity corridor),SUPPORTED (HIGH),NONE (Distinct broad sanctuary reserve from DB #122 and #123),NO OVERLAP (Closest is DB #123 Telhar Kund @ 17.00 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,"Statutory Wildlife Sanctuary (1,504 sq km) under Wildlife Protection Act 1972; NTCA approved 2nd Tiger Reserve; 17.0 km clear distance."
8,Simaria Ghat & Dinkar Memorial,Begusarai,cultural,25.4382,85.9921,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Begusarai (NIC Portal),https://begusarai.nic.in/tourist-places/,"HIGH CONFIDENCE (Ganga promenade ghats, Rajendra Setu approach, and Dinkar Smarak pinned)","HIGH (Barauni block, Begusarai)",HIGH (Premier cultural and spiritual riverfront of central Bihar under major state development),SUPPORTED (HIGH),NONE (Distinct physical site from DB #20 Kanwar Lake),NO OVERLAP (Closest is DB #20 Kanwar Lake @ 28.38 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Official State Fair venue and national poet memorial on Ganga riverfront; 28.4 km clear distance.
9,"Jal Mandir, Pawapuri",Nalanda,temple,25.0925,85.5385,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Nalanda (NIC Portal),https://nalanda.nic.in/tourist-places/,"HIGH CONFIDENCE (Marble island temple, 600-foot sandstone footbridge, and tank rim pinned)","HIGH (Pawapuri / Giriyak block, Nalanda)",HIGH (Global pilgrimage landmark and exquisite marble water architecture),SUPPORTED (HIGH),"NONE (Distinct physical site from DB #8, #9, #145)",NO OVERLAP (Closest is DB #8 Nalanda Ruins @ 10.80 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Lord Mahavira Nirvana site; 84-acre lotus reservoir and marble shrine; 10.8 km clear distance.
10,Gupta Dham (Gupteshwar Mahadev Cave),Rohtas,nature,24.7512,83.7912,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/,Geological Survey of India / Bihar Tourism,https://tourism.bihar.gov.in/,HIGH CONFIDENCE (Cave mouth entrance coordinates and ravine trail pinned),"HIGH (Chenari block, Rohtas)",HIGH (Unique natural speleothemic karst wonder and revered cave pilgrimage),SUPPORTED (HIGH),"NONE (Distinct physical cave from DB #14, #15, #140, #143)",NO OVERLAP (Closest is DB #15 Rohtasgarh Fort @ 16.77 km; >5 km threshold satisfied),HIGH CONFIDENCE,APPROVAL-READY,Authentic natural limestone cavern with stalactites and subterranean Shiva shrine; 16.8 km clear distance.
