rank,district,place_name,category,coordinates,verification_level,primary_source,secondary_source,existing_duplicate,tourism_value,discovery_value,data_completeness,overlap_risk,recommended_priority,reason
1,Madhubani,Saurath Sabha Gachhi,cultural,"26.4125, 86.0954",CROSS-VERIFIED MUNICIPAL,District Administration Madhubani (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: Rare living anthropological and cultural heritage tradition in India, documented on madhubani.nic.in."
2,Rohtas,Tutla Bhawani Waterfall & Hanging Bridge,waterfall,"24.7815, 84.0125",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Rohtas,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: Flagship eco-tourism and adventure landscape in Bihar, developed by Environment & Forest Department."
3,Bhagalpur,Bateshwar Sthan & Patharghata Caves,historical,"25.3341, 87.2712",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Bihar Tourism Board,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: ASI Centrally Protected Monument, featured in Kalidasa's Kumarasambhava."
4,Araria,"Bio-Diversity Park, Kusiargaon",nature,"26.1158, 87.4589",CROSS-VERIFIED MUNICIPAL,District Administration Araria (NIC Portal),Bihar Tourism Board,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: State's pioneer biodiversity education and nature tourism centre situated on the East-West Highway Corridor.
5,Rohtas,Dhuan Kund & Manjhar Kund Waterfalls,waterfall,"24.8912, 84.0124",CROSS-VERIFIED MUNICIPAL,District Administration Rohtas (NIC Portal),Bihar Tourism Board,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Highly popular nature tourism destination featured on rohtas.nic.in.
6,West Champaran,Someshwar Fort & Hills,mountain,"27.4685, 84.3125",CROSS-VERIFIED MUNICIPAL,District Administration West Champaran (NIC Portal),Gazetteer of Bihar & Regional Cultural Archives,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: Top trekking, mountain viewpoint, and adventure destination in Bihar."
7,Nalanda,Ghora Katora Lake Eco-Reserve,nature,"24.9921, 85.4812",STATE TOURISM REGISTER,"Bihar Tourism (Department of Tourism, Govt of Bihar)",District Administration Nalanda,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Bihar's premier eco-tourism nature park with paddle boating and cycling trails.
8,Darbhanga,Kusheshwar Asthan Bird Sanctuary & Temple,nature,"25.8125, 86.1158",GOVERNMENT / STATUTORY,District Administration Darbhanga (NIC Portal),Bihar Tourism Board,NONE,VERY HIGH,HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: Major eco-tourism and birdwatching haven declared a wildlife sanctuary by Bihar Government in 1994.
9,East Champaran,Areraj Someshwar Nath Temple & Ashokan Pillar,historical,"26.5412, 84.7485",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),Bihar Tourism Board,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,Exceptional crown jewel destination: ASI Centrally Protected Monument and prominent Shravani pilgrimage centre.
10,Saran,Chirand Archaeological Site,historical,"25.7125, 84.8125",GOVERNMENT / STATUTORY,Archaeological Survey of India (ASI Patna Circle),District Administration Saran,NONE,VERY HIGH,VERY HIGH,HIGH,NONE,P0,"Exceptional crown jewel destination: One of the most important prehistoric and ancient archaeological monuments in the Indian subcontinent, State Protected."
