Candidate Name,District,Rejection Reason,Discovered From,Category / Type,Notes
Forbesganj Railway Station Bazar,Araria,"Commercial market / transit hub, not a tourism heritage site",Google Search,commercial,
Hotel Diya International Araria,Araria,"Commercial hotel/lodging business, not a tourist destination",Google Maps / Directory,commercial,
Arwal Bus Stand Commercial Complex,Arwal,"Transit and retail facility, non-tourism",Google Maps,transit,
Barauni IOCL Refinery Township,Begusarai,Petrochemical industrial complex and staff residential colony,Google Search,industrial,
Zero Mile Commercial Chauraha,Bhagalpur,"Urban traffic intersection and commercial market, non-tourism",Google Maps,commercial,
Ara Sadar Hospital,Bhojpur,"Public medical healthcare facility, non-tourism",Google Maps,medical,
Buxar Central Jail,Buxar,High-security correctional institution with restricted entry,Google Maps,restricted,
Motihari Sugar Mill,East Champaran,"Closed agro-industrial factory complex, non-tourism",Google Search,industrial,
Gaya Collectorate Administrative Office,Gaya,Government administrative building with restricted public access,Google Maps,administrative,
Hotel Bodhgaya Gautam,Gaya,"Commercial hotel/resort for travelers, not an attraction in itself",Google Search,commercial,
Jhajha Railway Goods Yard,Jamui,"Freight handling yard, non-tourism",Google Maps,transit,
Katihar Railway Junction Yard,Katihar,Major railway junction platform and marshalling yard,Google Maps,transit,
Hotel Raj Darbar Muzaffarpur,Muzaffarpur,Commercial lodging establishment,Google Maps,commercial,
Muzaffarpur Junction Railway Waiting Hall,Muzaffarpur,"Transit infrastructure, not a tourism sight",Google Maps,transit,
Hotel Maurya Patna,Patna,"Commercial luxury hotel/hospitality business, not a public tourism destination",Google Maps,commercial,
Kankarbagh Colony Park,Patna,Local residential neighborhood park with no tourist or heritage relevance,Google Maps,park,
P&M Mall Patna,Patna,"Modern commercial shopping mall, non-heritage retail venue",Google Search,commercial,
Purnea College Academic Campus,Purnia,Local degree college campus without tourism/heritage interest,Google Maps,education,
Dehri Mechanical Engineering Workshop,Rohtas,"Railway workshop facility, restricted access",Google Maps,industrial,
Samastipur Dairy Milk Plant,Samastipur,"Industrial dairy processing facility, non-tourism",District Portal / Google Maps,industrial,
Chhapra Main Bazar Cloth Market,Saran,Generic local textile and grocery retail street,Google Search,commercial,
Hotel Grand Sheohar,Sheohar,"Commercial roadside lodge, non-tourism",Google Maps,commercial,
Sitamarhi Bus Stand,Sitamarhi,"Public transport bus depot, non-tourism",Google Maps,transit,
Siwan Civil Court Complex,Siwan,"Judicial courts building, non-tourism",Google Maps,administrative,
Hajipur Cinema Road Market,Vaishali,"Urban retail market street, non-tourism",Google Maps,commercial,
