rank,place_name,district,category,latitude,longitude,primary_source,primary_source_url,secondary_source,secondary_source_url,coordinate_confidence,district_confidence,tourism_confidence,claim_confidence,duplicate_status,overlap_status,final_verdict,reason
1,Saurath Sabha Gachhi,Madhubani,cultural,26.4125,86.0954,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO CONFLICT (6.69 KM NE OF DB #13),APPROVAL-READY,700-year-old historic banyan assembly grove for Mithila genealogical marriage congregation; documented on madhubani.nic.in.
2,Tutla Bhawani Waterfall & Hanging Bridge,Rohtas,waterfall,24.7815,84.0125,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Rohtas,https://rohtas.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,"Verified via Bihar Tourism (Department of Tourism, Govt of Bihar). Legitimate independent visitor destination."
3,Bateshwar Sthan & Patharghata Caves,Bhagalpur,historical,25.3341,87.2712,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,COMPANION PROXIMITY (1.28 KM FROM DB #11),APPROVAL-READY,Independent ASI Centrally Protected rock-cut cave monument and Shiva temple on Patharghata Hill; companion to Vikramshila campus.
4,"Bio-Diversity Park, Kusiargaon",Araria,nature,26.1158,87.4589,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via District Administration Araria (NIC Portal). Legitimate independent visitor destination.
5,Dhuan Kund & Manjhar Kund Waterfalls,Rohtas,waterfall,24.8912,84.0124,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO CONFLICT (6.45 KM SW OF DB #14),APPROVAL-READY,Perennial Kaimur plateau waterfalls; topographically segregated on hill ridge.
6,Someshwar Fort & Hills,West Champaran,mountain,27.4685,84.3125,District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via District Administration West Champaran (NIC Portal). Legitimate independent visitor destination.
7,Ghora Katora Lake Eco-Reserve,Nalanda,nature,24.9921,85.4812,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Nalanda,https://nalanda.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO CONFLICT (7.44 KM SE OF DB #9),APPROVAL-READY,Strict zero-pollution eco-tourism lake with 70-ft pink sandstone Buddha statue; accessible only by e-cart/cycle.
8,Kusheshwar Asthan Bird Sanctuary & Temple,Darbhanga,nature,25.8125,86.1158,District Administration Darbhanga (NIC Portal),https://darbhanga.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via District Administration Darbhanga (NIC Portal). Legitimate independent visitor destination.
9,Areraj Someshwar Nath Temple & Ashokan Pillar,East Champaran,historical,26.5412,84.7485,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via Archaeological Survey of India (ASI Patna Circle). Legitimate independent visitor destination.
10,Chirand Archaeological Site,Saran,historical,25.7125,84.8125,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration Saran,https://saran.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via Archaeological Survey of India (ASI Patna Circle). Legitimate independent visitor destination.
11,Rampurva Ashokan Pillars,West Champaran,historical,27.2685,84.5012,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via Archaeological Survey of India (ASI Patna Circle). Legitimate independent visitor destination.
12,Phanishwar Nath Renu Smarak & Birthplace,Araria,cultural,26.2486,87.2842,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,Incredible India (Ministry of Tourism),https://www.incredibleindia.org/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via District Administration Araria (NIC Portal). Legitimate independent visitor destination.
13,Umga Sun Temple & Rock Complex,Aurangabad,historical,24.6312,84.5518,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Archaeological Survey of India,https://asi.nic.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,"Verified via Bihar Tourism (Department of Tourism, Govt of Bihar). Legitimate independent visitor destination."
14,Rajnagar Palace Complex,Madhubani,historical,26.3912,86.1485,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,"Directorate of Archaeology & Museums, Bihar",https://yac.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO CONFLICT (8.60 KM NE OF DB #13),APPROVAL-READY,Monumental Darbhanga Raj palace and marble temple ruins on Kamla river; documented on tourism.bihar.gov.in.
15,Shergarh Fort,Rohtas,historical,24.8415,83.7812,District Administration Rohtas (NIC Portal),https://rohtas.nic.in/tourist-places/,Incredible India (Ministry of Tourism),https://www.incredibleindia.org/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via District Administration Rohtas (NIC Portal). Legitimate independent visitor destination.
16,Kahalgaon Rock-Cut Temples,Bhagalpur,historical,25.2689,87.2345,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration Bhagalpur,https://bhagalpur.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO CONFLICT (8.34 KM NW OF DB #11),APPROVAL-READY,ASI Centrally Protected 7th-century monolithic rock-cut boulder sculptures in the river Ganga.
17,Daud Khan Fort,Aurangabad,historical,25.0315,84.4024,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Aurangabad,https://aurangabad.bih.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,"Verified via Bihar Tourism (Department of Tourism, Govt of Bihar). Legitimate independent visitor destination."
18,"Ashokan Pillar & Ananda Stupa, Kolhua",Vaishali,historical,26.0125,85.1124,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,COMPANION PROXIMITY (3.43 KM FROM DB #10),APPROVAL-READY,Independent ASI ticketed archaeological park 3.5 km north of Vaishali village; companion to parliamentary mound.
19,"Buddha Relic Stupa, Vaishali",Vaishali,historical,25.9912,85.1215,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,PROXIMITY WARNING (< 1 KM FROM DB #10),HOLD FOR MANUAL REVIEW,Situated 930 metres from active DB #10 (Vaishali - Birthplace of Democracy). Held for sub-complex grouping.
20,Lauriya Nandangarh,West Champaran,historical,26.9954,84.4124,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,Bihar Tourism Board,https://tourism.bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,Verified via Archaeological Survey of India (ASI Patna Circle). Legitimate independent visitor destination.
21,Champanagar Ancient Capital & Jain Tirth,Bhagalpur,cultural,25.2312,86.9245,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Bhagalpur,https://bhagalpur.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,"Verified via Bihar Tourism (Department of Tourism, Govt of Bihar). Legitimate independent visitor destination."
22,Vishwa Shanti Stupa & Ratnagiri Ropeway,Nalanda,cultural,25.0085,85.4385,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Nalanda,https://nalanda.nic.in/tourist-places/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,COMPANION PROXIMITY (2.87 KM FROM DB #9),APPROVAL-READY,Independent aerial ropeway and peace pagoda atop Ratnagiri Hill; premier modern landmark of Rajgir circuit.
23,"Jal Mandir, Pawapuri",Nalanda,temple,25.0925,85.5385,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,HIGH CONFIDENCE,HIGH,HIGH,SUPPORTED (HIGH),NONE,NO OVERLAP (> 5 KM),APPROVAL-READY,"Verified via Bihar Tourism (Department of Tourism, Govt of Bihar). Legitimate independent visitor destination."
