district,current_places,p0_candidates,projected_coverage,zero_coverage_unlocked
Araria,0,1,1,YES
Arwal,0,1,1,YES
Aurangabad,1,0,1,NO
Banka,0,1,1,YES
Begusarai,1,0,1,NO
Bhagalpur,2,2,4,NO
Bhojpur,1,1,2,NO
Buxar,1,1,2,NO
Darbhanga,1,0,1,NO
East Champaran,1,0,1,NO
Gaya,13,0,13,NO
Gopalganj,0,1,1,YES
Jamui,11,0,11,NO
Jehanabad,0,0,0,NO
Jhanjharpur (Madhubani),1,0,1,NO
Kaimur,1,2,3,NO
Katihar,0,1,1,YES
Khagaria,0,1,1,YES
Kishanganj,0,1,1,YES
Lakhisarai,0,1,1,YES
Madhepura,0,1,1,YES
Munger,2,0,2,NO
Muzaffarpur,1,0,1,NO
Nalanda,2,2,4,NO
Nawada,1,0,1,NO
Patna,18,0,18,NO
Purnia,0,1,1,YES
Rohtas,2,2,4,NO
Saharsa,0,1,1,YES
Samastipur,0,1,1,YES
Saran,0,2,2,YES
Sheikhpura,0,1,1,YES
Sheohar,0,1,1,YES
Sitamarhi,1,1,2,NO
Siwan,0,1,1,YES
Supaul,0,1,1,YES
Vaishali,1,3,4,NO
West Champaran,1,2,3,NO
