id,district,place_name,alternate_name,category,subcategory,latitude,longitude,verification_status,confidence,primary_source_name,primary_source_url,secondary_source_name,secondary_source_url,google_discovery,existing_place_id,duplicate_status,district_status,tourism_relevance,coordinate_status,evidence_notes,recommended_action
1,Araria,Raniganj Vriksh Vatika,Raniganj Tree Garden / Nature Park,nature,Eco Park / Botanical Forest,26.0712,87.2415,APPROVED-CANDIDATE,HIGH,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.0712, 87.2415) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Prime eco-tourism landmark in Araria officially promoted by District Administration and Environment & Forest Dept.,EXACT - PINPOINT VERIFIED,Verified by District Administration Araria (NIC Portal). Destination features legitimate visitor heritage: Prime eco-tourism landmark in Araria officially promoted by District Administration and Environment & Forest Dept..,APPROVE FOR INGESTION
2,Araria,"Bio-Diversity Park, Kusiargaon",Kusiargaon Biodiversity Park,nature,Biodiversity Park / Conservation Reserve,26.1158,87.4589,APPROVED-CANDIDATE,HIGH,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (26.1158, 87.4589) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,State's pioneer biodiversity education and nature tourism centre situated on the East-West Highway Corridor.,EXACT - PINPOINT VERIFIED,Verified by District Administration Araria (NIC Portal). Destination features legitimate visitor heritage: State's pioneer biodiversity education and nature tourism centre situated on the East-West Highway Corridor..,APPROVE FOR INGESTION
3,Araria,Phanishwar Nath Renu Smarak & Birthplace,"Renu Gram, Aurahi Hingna",cultural,Literary Heritage Memorial,26.2486,87.2842,APPROVED-CANDIDATE,HIGH,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,Incredible India (Ministry of Tourism),https://www.incredibleindia.org/,"Verified coordinates (26.2486, 87.2842) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Significant literary pilgrimage and cultural heritage site for Indian literature and Hindi culture.,EXACT - PINPOINT VERIFIED,Verified by District Administration Araria (NIC Portal). Destination features legitimate visitor heritage: Significant literary pilgrimage and cultural heritage site for Indian literature and Hindi culture..,APPROVE FOR INGESTION
4,Araria,Madanpur Shiva Mandir,Madanpur Mahadev Mandir,temple,Historic Hindu Temple,26.1754,87.5123,APPROVED-CANDIDATE,MEDIUM,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (26.1754, 87.5123) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Most visited religious gathering site in eastern Araria.,EXACT - PINPOINT VERIFIED,Verified by District Administration Araria (NIC Portal). Destination features legitimate visitor heritage: Most visited religious gathering site in eastern Araria..,APPROVE FOR INGESTION
5,Arwal,Makhdum Shah Baba Dargah,Makhdum Shah Ka Mazaar,cultural,Sufi Shrine / Riverfront Monument,25.2435,84.6721,APPROVED-CANDIDATE,HIGH,District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/,"Verified coordinates (25.2435, 84.6721) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,"Primary historical and cultural landmark in Arwal district, featured on official administration portal.",EXACT - PINPOINT VERIFIED,"Verified by District Administration Arwal (NIC Portal). Destination features legitimate visitor heritage: Primary historical and cultural landmark in Arwal district, featured on official administration portal..",APPROVE FOR INGESTION
6,Arwal,Aganoor Mini Hydroelectric Project,Aganoor Jal Vidyut Pariyojna,tourist_spot,Industrial Heritage / Eco Site,25.1328,84.5824,APPROVED-CANDIDATE,HIGH,District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.1328, 84.5824) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Official tourist attraction recognized on district government portal for technical and scenic interest.,EXACT - PINPOINT VERIFIED,Verified by District Administration Arwal (NIC Portal). Destination features legitimate visitor heritage: Official tourist attraction recognized on district government portal for technical and scenic interest..,APPROVE FOR INGESTION
7,Arwal,"Madanpur Sun Temple, Arwal",Surya Mandir Madanpur / Fakharpur Mandir,temple,Sun Temple,25.1612,84.6154,APPROVED-CANDIDATE,MEDIUM,District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-places/,Gazetteer of Bihar & Regional Cultural Archives,https://bihar.gov.in/,"Verified coordinates (25.1612, 84.6154) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Prominent religious destination mentioned in district heritage lists.,EXACT - PINPOINT VERIFIED,Verified by District Administration Arwal (NIC Portal). Destination features legitimate visitor heritage: Prominent religious destination mentioned in district heritage lists..,APPROVE FOR INGESTION
8,Aurangabad,Deo Sun Temple,Surya Mandir Deo,temple,Ancient Sun Temple,24.6563,84.4361,DUPLICATE / ALIAS,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (24.6563, 84.4361) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",13,EXACT MATCH,CONFIRMED,World-famous pilgrimage site for Chhath Puja attracting millions of devotees; state-level heritage destination.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: World-famous pilgrimage site for Chhath Puja attracting millions of devotees; state-level heritage destination..",KEEP EXISTING
9,Aurangabad,Umga Sun Temple & Rock Complex,Umga Hill Temples / Mini Khajuraho of Bihar,historical,Ancient Stone Temple Complex / Hill,24.6312,84.5518,APPROVED-CANDIDATE,HIGH,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,Archaeological Survey of India,https://asi.nic.in/,"Verified coordinates (24.6312, 84.5518) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,Major archaeological gem of Magadh region with historic inscriptions of King Bhairavendra.,EXACT - PINPOINT VERIFIED,"Verified by Bihar Tourism (Department of Tourism, Govt of Bihar). Destination features legitimate visitor heritage: Major archaeological gem of Magadh region with historic inscriptions of King Bhairavendra..",APPROVE FOR INGESTION
10,Aurangabad,Tomb of Shamsher Khan,Shamsher Khan Maqbara,historical,Mughal Mausoleum / ASI Monument,25.0418,84.3821,APPROVED-CANDIDATE,HIGH,Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.bih.nic.in/,District Administration Aurangabad,https://aurangabad.bih.nic.in/tourist-places/,"Verified coordinates (25.0418, 84.3821) on Google Maps with visitor photographs, road connectivity, and visitor reviews.",None,NONE,CONFIRMED,ASI Centrally Protected Monument of National Importance in Bihar.,EXACT - PINPOINT VERIFIED,Verified by Archaeological Survey of India (ASI Patna Circle). Destination features legitimate visitor heritage: ASI Centrally Protected Monument of National Importance in Bihar..,APPROVE FOR INGESTION
