rank,district,place_name,category,latitude,longitude,existing_place_id,primary_source,primary_source_url,secondary_source,secondary_source_url,coordinate_confidence,district_confidence,tourism_confidence,claim_confidence,overall_confidence,final_status,reason
1,Araria,Raniganj Vriksh Vatika,nature,26.0712,87.2415,,District Administration Araria (NIC Portal),https://araria.nic.in/tourist-place/raniganj-vriksh-vatika/,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Official government-developed 289-acre eco-tourism park with active visitor infrastructure, verified coordinates, zero duplicate risk, unlocking zero-coverage Araria district."
2,Arwal,Makhdum Shah Baba Dargah,cultural,25.2435,84.6721,,District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-place/makhdum-shah-ka-mazaar/,Bihar Tourism Board (Sufi Circuit),https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,Primary cultural landmark of Arwal district documented on district administration portal with verified coordinates and zero duplicate risk.
3,Banka,Odhni Dam Eco-Tourism Complex,adventure,24.8415,86.8924,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Banka (NIC Portal),https://banka.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Flagship state-promoted water sports resort with modern visitor infrastructure, verified coordinates, unlocking Banka district."
4,Bhagalpur,Sultanganj Ajgaibinath Temple,temple,25.2458,86.7389,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Bhagalpur (NIC Portal),https://bhagalpur.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Major spiritual anchor of eastern Bihar with national religious significance, verified island coordinates, and no duplication."
5,Bhagalpur,Vikramshila Gangetic Dolphin Sanctuary,nature,25.2912,87.0215,,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/,National Mission for Clean Ganga (NMCG),https://nmcg.nic.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Unique national-level wildlife sanctuary with statutory conservation status, distinct from the university ruins, with verified riverfront observatory coordinates."
6,Bhojpur,Aranya Devi Temple,temple,25.5612,84.6645,,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/,Bihar Tourism Board,https://tourism.bihar.gov.in/en/destinations,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Foremost cultural and spiritual landmark of Arrah city with documented administrative backing, verified coordinates, zero duplicate risk."
7,Buxar,Chausa Battlefield & Monument,historical,25.5142,83.8912,,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/,"Directorate of Archaeology, Bihar",https://yac.bihar.gov.in/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Crucial national historical landmark clearly distinguished from the 1764 Battle of Buxar, verified coordinates, strong heritage relevance."
8,Gopalganj,Thawe Mandir,temple,26.4385,84.3912,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-place/thawe-temple/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Premier religious pilgrimage destination of north-western Bihar with high visitor numbers, verified coordinates, unlocking zero-coverage Gopalganj."
9,Kaimur,Karkatgarh Waterfall & Eco Park,waterfall,25.0812,83.5124,,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/,District Administration Kaimur (NIC Portal),https://kaimur.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,"Government-recognized wildlife conservation and eco-tourism marvel with modern infrastructure, exact coordinates, and zero duplicate risk."
10,Kaimur,Telhar Kund Waterfall,waterfall,24.9654,83.6124,,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Kaimur (NIC Portal),https://kaimur.nic.in/tourist-places/,EXACT / HIGH CONFIDENCE,CONFIRMED,HIGH,HIGH,HIGH,✅ APPROVE FOR ADDITION,Premier natural landscape feature of western Bihar officially promoted by Bihar Tourism with verified coordinates and zero duplicate risk.
