candidate,previous_status,current_status,reason
Bhitiharwa Gandhi Ashram,HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration West Champaran (NIC Portal)). Adds critical depth to West Champaran with 3.25 km minimum distance to nearest active place.
"Baba Mahendra Nath Temple, Mehdar",HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Siwan (NIC Portal)). Adds critical depth to Siwan with 33.4 km minimum distance to nearest active place.
Jaimangla Garh,HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Begusarai (NIC Portal)). Adds critical depth to Begusarai with 6.54 km minimum distance to nearest active place.
Ramrekha Ghat,HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Buxar (NIC Portal)). Adds critical depth to Buxar with 1.73 km minimum distance to nearest active place.
Aganoor Mini Hydroelectric Project,HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Arwal (NIC Portal)). Adds critical depth to Arwal with 17.74 km minimum distance to nearest active place.
Raja Bali Ka Garh,HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (Archaeological Survey of India (ASI Patna Circle)). Adds critical depth to Madhubani with 18.96 km minimum distance to nearest active place.
Dr. Rajendra Prasad Central Agricultural University,HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Samastipur (NIC Portal)). Adds critical depth to Samastipur with 26.71 km minimum distance to nearest active place.
"Baba Vishu Raut Temple, Pachrasi Dham",HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Madhepura (NIC Portal)). Adds critical depth to Madhepura with 17.11 km minimum distance to nearest active place.
"Kanhaiya Ji Mandir, Bandarjhula",HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (Archaeological Survey of India (Centrally Protected Monument List)). Adds critical depth to Kishanganj with 18.34 km minimum distance to nearest active place.
"Gautam Asthan, Revelganj",HOLD / CANDIDATE QUEUE,APPROVAL-READY,Verified Level A institutional documentation (District Administration Saran (NIC Portal)). Adds critical depth to Saran with 16.08 km minimum distance to nearest active place.
"Buddha Relic Stupa, Vaishali",HOLD / QUEUE,HOLD,Excavated mud stupa of the Lichchhavis that yielded the authentic casket containing Buddha's corporeal relics (now in Patna Museum). Held strictly due to 0.93 km marker proximity to ID 10 (Vaishali - Birthplace of Democracy); Vaishali already has 3 active places.
Nagi Dam Bird Sanctuary,HOLD / QUEUE,HOLD,"Notified Wildlife Sanctuary and 2024 Ramsar Wetland site, host of Kalrav Bird Festival. Situated 3.10 km from Nakti Dam Bird Sanctuary (ID 67). Jamui already has 11 active destinations; held to prioritize underrepresented districts."
