District,Existing Active Places,Verified New Candidates,Needs Review,Rejected/Duplicates,Coverage Status
Araria,0,4,0,2,GREEN
Arwal,0,3,0,1,GREEN
Aurangabad,1,5,0,1,GREEN
Banka,0,4,0,1,GREEN
Begusarai,1,3,0,2,GREEN
Bhagalpur,2,7,0,2,GREEN
Bhojpur,1,4,0,2,GREEN
Buxar,1,6,0,2,GREEN
Darbhanga,1,5,0,1,GREEN
East Champaran,1,4,0,2,GREEN
Gaya,13,5,0,9,GREEN
Gopalganj,0,5,0,0,GREEN
Jamui,11,1,0,6,GREEN
Jehanabad,0,4,0,1,GREEN
Kaimur,1,5,0,1,GREEN
Katihar,0,4,0,1,GREEN
Khagaria,0,2,1,0,YELLOW
Kishanganj,0,4,0,0,GREEN
Lakhisarai,0,5,0,0,GREEN
Madhepura,0,3,0,0,GREEN
Madhubani,1,7,0,1,GREEN
Munger,2,5,0,2,GREEN
Muzaffarpur,1,4,0,3,GREEN
Nalanda,2,10,0,2,GREEN
Nawada,1,4,0,1,GREEN
Patna,18,5,0,4,GREEN
Purnia,0,4,0,1,GREEN
Rohtas,2,7,0,3,GREEN
Saharsa,0,5,0,0,GREEN
Samastipur,0,4,0,1,GREEN
Saran,0,6,0,1,GREEN
Sheikhpura,0,3,0,0,GREEN
Sheohar,0,2,0,1,YELLOW
Sitamarhi,1,4,0,2,GREEN
Siwan,0,4,0,1,GREEN
Supaul,0,3,0,0,GREEN
Vaishali,1,7,0,2,GREEN
West Champaran,1,8,0,1,GREEN
