rank,candidate_name,district,district_id,category,latitude,longitude,canonical_slug,nearest_existing_place,min_haversine_km,overlap_classification,why_it_adds_value,primary_authoritative_source,primary_source_url,secondary_source,secondary_source_url,evidence_confidence,recommended_priority,notes_risks
1,Bhitiharwa Gandhi Ashram,West Champaran,9,historical,27.2437,84.4838,bhitiharwa-gandhi-ashram-west-champaran,Rampurva Ashokan Pillars,3.25,Legitimate separate destination (3.25 km from active ID 149 'Rampurva Ashokan Pillars'; distinct historical/cultural identity),"Historic ashram and basic school founded on 20 November 1917 by Mahatma Gandhi during the historic Champaran Satyagraha. Preserves the original Kasturba Gandhi Vidyalaya hut, the historical school bell rung by Bapu, prayer grounds, and an extensive museum of freedom movement artifacts.",District Administration West Champaran (NIC Portal),https://westchamparan.nic.in/tourist-places/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P0,Supreme national freedom struggle heritage monument; 3.25 km from Rampurva Ashokan Pillars (completely separate thematic and historical identity); well-maintained memorial road.
2,"Baba Mahendra Nath Temple, Mehdar",Siwan,35,temple,25.987,84.438,baba-mahendra-nath-temple-mehdar-siwan,Zeeradei (Dr. Rajendra Prasad Ancestral House),33.4,Clearly separate destination (33.40 km from active ID 135 'Zeeradei (Dr. Rajendra Prasad Ancestral House)'; distinct regional landmark),Monumental 17th-century Shaivite pilgrimage complex constructed by King Mahendra Bir Bikram Shah of Nepal on the banks of the expansive 55-acre Kamaldah Lake (Sarovar) famed for water lilies. Official venue of the annual state-sponsored Mehdar Mahotsav; gives Siwan its 2nd active destination.,District Administration Siwan (NIC Portal),https://siwan.nic.in/tourist-place/mahendranath-temple/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P0,"Located in Siswan block in southeast Siwan, 33.40 km from Zeeradei; massive annual pilgrimage during Shravan and Mahashivratri; high state cultural prominence."
3,Jaimangla Garh,Begusarai,15,historical,25.5921,86.1613,jaimangla-garh-begusarai,Kanwar Lake Bird Sanctuary,6.54,Genuinely separate destination (6.54 km from active ID 20 'Kanwar Lake Bird Sanctuary'; distinct archaeological/topographical identity),"Ancient fortified island promontory on the southern fringe of Kabartal / Kanwar Lake, excavated by State Archaeology and ASI yielding black stone Pala-era sculptures and antiquities. Houses the sacred 9th–10th century Chandi Mangla Devi Shaktipeeth temple; gives Begusarai its 3rd active destination.",District Administration Begusarai (NIC Portal),https://begusarai.nic.in/tourist-place/jaimangla-garh/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,Situated 6.54 km from Kanwar Lake Bird Sanctuary marker; represents the ancient fortified promontory and temple mound distinct from the open-water bird reserve.
4,Ramrekha Ghat,Buxar,17,cultural,25.5761,83.9711,ramrekha-ghat-buxar,Battle of Buxar Memorial,1.73,Legitimate companion destination (1.73 km from active ID 23 'Battle of Buxar Memorial'; distinct visitor identity),"Prime sacred Ganga riverfront ghat of Buxar where Lord Rama crossed the Ganga with Sage Vishwamitra. Enhanced with a major ₹13.24 Cr Bihar Tourism riverfront development, Ganga Aarti pavilion, steps, and promenade; host of the annual Panchkosi Parikrama mela and daily evening Maha Aarti. Gives Buxar cultural diversity beyond battlefields.",District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-place/ramrekha-ghat/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P0,Located 1.73 km north of Battle of Buxar Memorial; distinct riverfront cultural and pilgrimage identity; completely separate visitor experience from inland battlefield park.
5,Aganoor Mini Hydroelectric Project,Arwal,12,tourist_spot,25.1328,84.5385,aganoor-mini-hydroelectric-project-arwal,Daud Khan Fort,17.74,Clearly separate destination (17.74 km from active ID 152 'Daud Khan Fort'; distinct regional landmark),"Scenic barrage, mini hydel power station, and canal waterfalls on the Sone River canal network at Aganoor in Kaler block. Highly popular regional picnic spot, eco-leisure destination, and engineering marvel; gives Arwal its 2nd active destination.",District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-place/aganoor-mini-hydroelectric-project/,"Department of Energy, Govt of Bihar / BSEB",https://energy.bihar.gov.in/,A,P1,Located 18.37 km from Makhdum Shah Baba Dargah; major scenic leisure attraction along the Sone canal; popular during monsoon and winter.
6,Raja Bali Ka Garh,Madhubani,20,historical,26.4595,86.323,raja-bali-ka-garh-madhubani,Rajnagar Palace Complex,18.96,Clearly separate destination (18.96 km from active ID 154 'Rajnagar Palace Complex'; distinct regional landmark),"Centrally Protected Monument of National Importance under ASI (declared 1938). Sprawling 176-acre fortified ancient city at Balirajgarh (Babubarhi block) with massive brick ramparts up to 40 ft high, representing ancient Videha Kingdom urban settlement spanning NBPW, Sunga, Kushan, Gupta, and Pala eras. Gives Madhubani an archaeological marvel.",Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.gov.in/,District Administration Madhubani (NIC Portal),https://madhubani.nic.in/tourist-place/baligarh/,A,P0,"Monument of National Importance under ASI protection; located in Babubarhi block, 18.96 km NE of Rajnagar Palace Complex; extensive ongoing scientific excavations."
7,Dr. Rajendra Prasad Central Agricultural University,Samastipur,30,historical,25.986,85.6754,dr-rajendra-prasad-central-agricultural-university-samastipur,Sujani Embroidery Craft Cluster,26.71,Clearly separate destination (26.71 km from active ID 168 'Sujani Embroidery Craft Cluster'; distinct regional landmark),"Birthplace of modern agricultural science in India, founded in 1905 by Lord Curzon with grant from Henry Phipps as the Imperial Agricultural Research Institute. Sprawling heritage campus featuring grand colonial architecture, historic Curzon Ground, botanical gardens, and agricultural museum. Gives Samastipur its 2nd active destination.",District Administration Samastipur (NIC Portal),https://samastipur.nic.in/tourist-place/dr-rajendra-prasad-central-agricultural-university-pusa/,"Ministry of Agriculture & Farmers Welfare, Govt of India",https://www.pusavarsity.org.in/,A,P1,"Located in Pusa block, 40.52 km NW of Vidyapati Dham; major educational and architectural heritage landmark in central Bihar."
8,"Baba Vishu Raut Temple, Pachrasi Dham",Madhepura,27,cultural,25.445,87.025,baba-vishu-raut-temple-pachrasi-dham-madhepura,Vikramshila Gangetic Dolphin Sanctuary,17.11,Clearly separate destination (17.11 km from active ID 118 'Vikramshila Gangetic Dolphin Sanctuary'; distinct regional landmark),"Revered 300-year-old pastoral folk hero memorial and temple in Chausa block, honoring Baba Vishu Raut who defended cattle herds from wild predators. Site of an official government-recognized Rajkiya Mela every April where thousands of herders offer flowing milk in a unique ritual; gives Madhepura its 2nd active destination.",District Administration Madhepura (NIC Portal),https://madhepura.nic.in/tourist-place/baba-vishu-raut/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,"Located in southern Madhepura (Chausa block), 66.72 km south of Singheshwar Sthan; authentic pastoral folklore tradition and state-notified cultural gathering."
9,"Kanhaiya Ji Mandir, Bandarjhula",Kishanganj,25,historical,26.3683,87.9636,kanhaiya-ji-mandir-bandarjhula-kishanganj,Kishanganj Tea Gardens,18.34,Clearly separate destination (18.34 km from active ID 126 'Kishanganj Tea Gardens'; distinct regional landmark),"Centrally Protected Monument of National Importance under ASI ('Kanhaiya ji ka mandir'). Archaeological mound near the Indo-Nepal border in Thakurganj block, housing an exquisite 8th–9th century full-size black basalt statue of Lord Vishnu/Krishna and ancient structural ruins. Gives Kishanganj its 2nd active destination.",Archaeological Survey of India (Centrally Protected Monument List),https://asi.nic.in/,District Administration Kishanganj (NIC Portal),https://kishanganj.nic.in/,A,P1,Centrally protected monument under ASI; located 18.34 km NW of Kishanganj Tea Gardens in border agricultural corridor; verified black basalt sculpture.
10,"Gautam Asthan, Revelganj",Saran,31,cultural,25.7812,84.6712,gautam-asthan-revelganj-saran,Chirand Archaeological Site,16.08,Clearly separate destination (16.08 km from active ID 148 'Chirand Archaeological Site'; distinct regional landmark),"Sacred hermitage on the holy Saryu (Ghaghara) riverbank 8 km west of Chhapra, officially recognized on Bihar Tourism's Ramayana Circuit. Commemorates Sage Maharshi Gautama and the sacred Ahilya Uddhar sthal described in Valmiki Ramayana, featuring ancient temple, river ghat, and annual Kartik Purnima fair. Gives Saran its 3rd active destination.",District Administration Saran (NIC Portal),https://saran.nic.in/tourist-place/gautam-asthan/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,Located 16.08 km NW of Chirand Archaeological Site on Saryu riverfront; major stop on Ramayana Circuit in western Bihar.
