priority,rank,district,place_name,category,why_it_deserves_priority,evidence_strength,uniqueness,district_coverage_impact,primary_source_name,primary_source_url
P0,1,Araria,Raniganj Vriksh Vatika,nature,Prime eco-tourism landmark in Araria officially promoted by District Administration and Environment & Forest Dept.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),District Administration Araria (NIC Portal),https://araria.nic.in/tourist-places/
P0,2,Arwal,Makhdum Shah Baba Dargah,cultural,"Primary historical and cultural landmark in Arwal district, featured on official administration portal.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),District Administration Arwal (NIC Portal),https://arwal.nic.in/tourist-places/
P0,3,Banka,Odhni Dam Eco-Tourism Complex,adventure,Flagship modern water sports and adventure tourism destination in south Bihar.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,4,Bhagalpur,Sultanganj Ajgaibinath Temple,temple,"Massive cultural and religious importance, drawing millions of pilgrims annually during the Shravani Mela.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,5,Bhagalpur,Vikramshila Gangetic Dolphin Sanctuary,nature,Globally unique eco-tourism and river safari destination.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/
P0,6,Bhojpur,Aranya Devi Temple,temple,"Chief religious and cultural landmark of Bhojpur district, featured on bhojpur.nic.in.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,Medium — Expands regional diversity,District Administration Bhojpur (NIC Portal),https://bhojpur.nic.in/tourist-places/
P0,7,Buxar,Chausa Battlefield & Monument,historical,Crucial medieval Indian history battleground featured on district administration portal.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,Medium — Expands regional diversity,District Administration Buxar (NIC Portal),https://buxar.nic.in/tourist-places/
P0,8,Gopalganj,Thawe Mandir,temple,"Foremost pilgrimage and cultural landmark of Gopalganj district, state-level tourism destination.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,9,Kaimur,Karkatgarh Waterfall & Eco Park,waterfall,"Top eco-tourism and adventure landscape in Bihar, praised by Mughal Emperor Jahangir in Tuzuk-i-Jahangiri.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,10,Kaimur,Telhar Kund Waterfall,waterfall,"Premier waterfall destination in Bihar, promoted prominently on Bihar Tourism Eco Circuit.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Fills major critical gap in high-tourism district,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
P0,11,Katihar,Gogabil Lake Bird Sanctuary,nature,Nationally recognized biodiversity hotspot and prime avian tourism sanctuary in eastern Bihar.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Department of Environment, Forest & Climate Change, Bihar",https://forest.bihar.gov.in/
P0,12,Khagaria,Katyayani Asthan,temple,"Foremost cultural and religious destination in Khagaria district, officially documented on khagaria.nic.in.",Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),District Administration Khagaria (NIC Portal),https://khagaria.nic.in/tourist-places/
P0,13,Kishanganj,Kishanganj Tea Gardens,nature,Fast-growing agritourism and scenic nature destination promoted by Bihar Department of Agriculture and Tourism.,Unimpeachable — Centrally Protected ASI / Ramsar / PRASAD Scheme / Official Circuit,World/National significance,High — Unlocks completely unrepresented district (0 places currently),"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations
