candidate_name,district,category,latitude,longitude,nearest_place_id,nearest_place_name,nearest_place_district,haversine_distance_km,overlap_classification,audit_resolution
Ara House,Bhojpur,historical,25.5539,84.668,119,Aranya Devi Temple,Bhojpur,0.88,SAME SITE / SEVERE OVERLAP,Scrutinized: distinct 1857 military monument on college campus vs ancient market temple; approved with special scrutiny.
"Ahilya Sthan, Ahiyari",Darbhanga,cultural,26.2917,85.8015,26,Darbhanga Raj (Laxmi Vilas Palace),Darbhanga,18.21,DISTINCT DESTINATION,Clear geographic separation from all active inventory; authentic Ramayana circuit anchor in Jale block.
Baba Garibnath Temple,Muzaffarpur,temple,26.1205,85.3912,27,Litchi Gardens & Jubba Sahni Park,Muzaffarpur,2.65,NEARBY BUT DISTINCT,Scrutinized: 300-year-old major pilgrimage temple vs urban park; approved with special scrutiny.
"Surya Mandir, Kandaha",Saharsa,historical,25.882,86.467,130,"Shri Ugratara Sthan, Mahishi",Saharsa,2.58,NEARBY BUT DISTINCT,Scrutinized: distinct village/panchayat archaeological Sun temple with 14th C inscription vs Tantric temple; approved with special scrutiny.
Mata Puran Devi Temple,Purnia,cultural,25.7725,87.458,174,Kajha Kothi Eco Park,Purnia,12.27,DISTINCT DESTINATION,Clear geographic separation from all active inventory; titular eponym heritage site of Purnia.
"Baba Brahmeshwar Nath Temple, Brahmpur",Buxar,temple,25.5992,84.2882,28,"Veer Kunwar Singh Fort, Jagdishpur",Bhojpur,19.58,DISTINCT DESTINATION,Clear geographic separation from all active inventory; ancient west-facing Shivalinga and cattle fair hub.
Gunawa Ji (Jain Tirth),Nawada,cultural,24.8944,85.5312,145,Ghora Katora Lake Eco-Reserve,Nalanda,11.98,DISTINCT DESTINATION,Clear geographic separation from all active inventory; sacred Jain Jal Mandir in Nawada.
"Ambika Sthan, Aami",Saran,cultural,25.6881,85.0062,95,Maner Sharif,Patna,12.94,DISTINCT DESTINATION,Clear geographic separation from all active inventory; ancient Ganga-cliff Shaktipeeth mound at Dighwara.
Lakri Dargah,Gopalganj,cultural,26.315,84.472,121,Thawe Mandir,Gopalganj,15.92,DISTINCT DESTINATION,Clear geographic separation from all active inventory; 16th-century Sufi pilgrimage shrine endowed by Aurangzeb.
"Baba Tileshwar Nath Mandir, Sukhpur",Supaul,temple,26.062,86.608,173,Matsyagandha Lake & Raktakali Temple,Saharsa,19.98,DISTINCT DESTINATION,Clear geographic separation from all active inventory; primary spiritual pilgrimage center of lower Kosi basin.
Chandradhari Museum,Darbhanga,historical,26.155,85.898,26,Darbhanga Raj (Laxmi Vilas Palace),Darbhanga,0.87,SAME SITE / SEVERE OVERLAP,"Scrutinized: museum inside Darbhanga city, 0.87 km from Raj Palace; held for future batch to prioritize rural Ahilya Sthan."
Khudneshwar Asthan,Samastipur,cultural,25.761,85.689,131,Vidyapati Dham,Samastipur,18.17,DISTINCT DESTINATION,Clear geographic separation from all active inventory; held for Batch 9 to preserve 1-per-district balance.
Lali Pahadi Archaeological Site,Lakhisarai,historical,25.1764,85.9981,127,Ashok Dham Temple,Lakhisarai,6.35,DISTINCT DESTINATION,Clear geographic separation from all active inventory; held for Batch 9 as Lakhisarai gained Shringirishi in Batch 6.
Manihari Ganga Ghat,Katihar,cultural,25.337,87.625,124,Gogabil Lake Bird Sanctuary,Katihar,2.67,NEARBY BUT DISTINCT,Distinct sacred ghat/ashram; held for Batch 9 as Katihar gained Lakshmipur Gurdwara in Batch 6.
"Sun Temple, Tarari",Bhojpur,historical,25.265,84.453,183,Aganoor Mini Hydroelectric Project,Arwal,17.03,DISTINCT DESTINATION,Clear geographic separation; held in favor of 1857 flagship fortress Ara House for Bhojpur.
Buddha Relic Stupa,Vaishali,historical,25.986,85.127,10,Vaishali - Birthplace of Democracy,Vaishali,0.14,SAME SITE / SEVERE OVERLAP,Severe proximity (0.14 km from Vaishali birthplace marker); held as subcomponent of Vaishali core complex.
Nagi Dam Bird Sanctuary,Jamui,nature,24.815,86.375,68,Gidhaur Raj Palace,Jamui,8.66,DISTINCT DESTINATION,Clear geographic separation; held to avoid Jamui district saturation (already 11 active places).
Kauwadol Hill & Colossal Buddha,Gaya,historical,24.992,85.048,5,Barabar Caves & Siddheshwar Nath,Jehanabad,2.12,NEARBY BUT DISTINCT,Nearby to Barabar Caves; held to avoid Gaya district saturation (already 12 active places).
Chankigarh Fort,West Champaran,historical,27.052,84.475,153,Lauriya Nandangarh,West Champaran,8.84,DISTINCT DESTINATION,Clear geographic separation; held to avoid Champaran saturation (already 6 active places).
Tomb of Bakhtiyar Khan,Kaimur,historical,25.043,83.518,122,Karkatgarh Waterfall & Eco Park,Kaimur,4.28,NEARBY BUT DISTINCT,Nearby Karkatgarh; held to avoid Kaimur saturation (already 4 active places).
