full_path,filename,extension,size_bytes,category,purpose,referenced_by,dependencies,safe_to_move,is_temporary,secret_present
D:\HiddenYatra\.dockerignore,.dockerignore,,1043,M. CONFIGURATION,Core application or environment configuration,scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,NO (MUST REMAIN IN ROOT),NO,NO
D:\HiddenYatra\.env,.env,,356,M. CONFIGURATION,Core application or environment configuration,.dockerignore; .env.example; .env.production.example; .gitignore; app.py,None,NO (MUST REMAIN IN ROOT),NO,YES
D:\HiddenYatra\.env.example,.env.example,.example,1067,M. CONFIGURATION,Core application or environment configuration,.dockerignore; .gitignore; INSTALL.md; docs/DeveloperGuide.md; scratch/comprehensive_structure_auditor.py,None,NO (MUST REMAIN IN ROOT),NO,YES
D:\HiddenYatra\.env.production.example,.env.production.example,.example,1310,M. CONFIGURATION,Core application or environment configuration,.dockerignore; .gitignore; DEPLOYMENT.md; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,REVIEW,NO,YES
D:\HiddenYatra\.gitignore,.gitignore,,1203,M. CONFIGURATION,Core application or environment configuration,.dockerignore; FINAL_PRE_SUBMISSION_AUDIT.md; scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,NO (MUST REMAIN IN ROOT),NO,NO
D:\HiddenYatra\API_DOCUMENTATION.md,API_DOCUMENTATION.md,.md,7535,L. DOCUMENTATION,"Project architecture, installation, or user documentation",scratch/comprehensive_structure_auditor.py; scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\app.py,app.py,.py,13142,M. CONFIGURATION,Core application or environment configuration,.env.example; CODE_SMELLS.md; INSTALL.md; KNOWN_LIMITATIONS.md; MAP_FIX_CHANGELOG.md,"import os; import json as _json; import secrets as _secrets; import logging; from decimal import Decimal; from datetime import datetime, date",NO (MUST REMAIN IN ROOT),NO,NO
D:\HiddenYatra\AUDIT.md,AUDIT.md,.md,1779,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\backup_active_db_20260808.sql,backup_active_db_20260808.sql,.sql,83250,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\backup_old_hiddenyatra_recovered.sql,backup_old_hiddenyatra_recovered.sql,.sql,319118,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\backup_pre_phase32_20260809.sql,backup_pre_phase32_20260809.sql,.sql,360978,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\backup_pre_phase3_20260809.sql,backup_pre_phase3_20260809.sql,.sql,324622,H. DATABASE,"SQL database schema, migration, or backup dump",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BARABAR_DATA_MODEL_RECOMMENDATION.md,BARABAR_DATA_MODEL_RECOMMENDATION.md,.md,9174,L. DOCUMENTATION,Documentation or notes markdown,JEHANABAD_FINAL_VERIFICATION.md,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BARABAR_SOURCE_LOG.md,BARABAR_SOURCE_LOG.md,.md,7513,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",No direct code references found,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_38_DISTRICT_PLACE_AUDIT.md,BIHAR_38_DISTRICT_PLACE_AUDIT.md,.md,262137,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_APPROVAL_READY_MASTER.csv,BIHAR_APPROVAL_READY_MASTER.csv,.csv,159656,I. DATA / SEED,Tabular data or candidate queue CSV,scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),NO,NO
D:\HiddenYatra\BIHAR_BATCH4_APPROVAL_PREVIEW.csv,BIHAR_BATCH4_APPROVAL_PREVIEW.csv,.csv,7594,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch4_preview.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH4_APPROVAL_PREVIEW.md,BIHAR_BATCH4_APPROVAL_PREVIEW.md,.md,23718,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch4_preview.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH4_SOURCE_LOG.md,BIHAR_BATCH4_SOURCE_LOG.md,.md,12573,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch4_preview.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH5_APPROVAL_PREVIEW.csv,BIHAR_BATCH5_APPROVAL_PREVIEW.csv,.csv,6418,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch5_preview_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH5_APPROVAL_PREVIEW.md,BIHAR_BATCH5_APPROVAL_PREVIEW.md,.md,25484,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch5_preview_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH5_SOURCE_LOG.md,BIHAR_BATCH5_SOURCE_LOG.md,.md,8797,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch5_preview_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH6_APPROVAL_PREVIEW.csv,BIHAR_BATCH6_APPROVAL_PREVIEW.csv,.csv,8215,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch6_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH6_APPROVAL_PREVIEW.md,BIHAR_BATCH6_APPROVAL_PREVIEW.md,.md,35140,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch6_markdown.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH6_OVERLAP_AUDIT.csv,BIHAR_BATCH6_OVERLAP_AUDIT.csv,.csv,9455,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch6_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH6_SOURCE_LOG.md,BIHAR_BATCH6_SOURCE_LOG.md,.md,11350,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch6_markdown.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH7_APPROVAL_PREVIEW.csv,BIHAR_BATCH7_APPROVAL_PREVIEW.csv,.csv,9651,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch7_csvs.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH7_APPROVAL_PREVIEW.md,BIHAR_BATCH7_APPROVAL_PREVIEW.md,.md,31986,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH7_CANDIDATE_STATUS.csv,BIHAR_BATCH7_CANDIDATE_STATUS.csv,.csv,10079,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch7_csvs.py; scratch/inspect_candidate_pool.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH7_OVERLAP_AUDIT.csv,BIHAR_BATCH7_OVERLAP_AUDIT.csv,.csv,16032,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch7_csvs.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH7_SOURCE_LOG.md,BIHAR_BATCH7_SOURCE_LOG.md,.md,18764,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH8_APPROVAL_PREVIEW.csv,BIHAR_BATCH8_APPROVAL_PREVIEW.csv,.csv,8120,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch8_csvs.py; scratch/regenerate_batch8_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH8_APPROVAL_PREVIEW.md,BIHAR_BATCH8_APPROVAL_PREVIEW.md,.md,20379,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/regenerate_batch8_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH8_CANDIDATE_STATUS.csv,BIHAR_BATCH8_CANDIDATE_STATUS.csv,.csv,7092,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch8_csvs.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH8_OVERLAP_AUDIT.csv,BIHAR_BATCH8_OVERLAP_AUDIT.csv,.csv,4734,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch8_csvs.py; scratch/regenerate_overlap_audit.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH8_SOURCE_LOG.md,BIHAR_BATCH8_SOURCE_LOG.md,.md,14760,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH9_APPROVAL_PREVIEW.csv,BIHAR_BATCH9_APPROVAL_PREVIEW.csv,.csv,8638,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch9_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH9_APPROVAL_PREVIEW.md,BIHAR_BATCH9_APPROVAL_PREVIEW.md,.md,23934,O. GENERATED REPORTS,"Historical audit, phase log, or regression report markdown",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch9_markdown_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
D:\HiddenYatra\BIHAR_BATCH9_CANDIDATE_STATUS.csv,BIHAR_BATCH9_CANDIDATE_STATUS.csv,.csv,7255,O. GENERATED REPORTS,"Audit, fact-check, or candidate review CSV report",scratch/generate_all_structure_audit_reports.py; scratch/generate_batch9_artifacts.py,None,YES (SAFE TO MOVE),YES,NO
